Team Code,Team Short Name,Total Team Goals Scored Home~,Total Team Goals Scored Away~,Total Team Goals Conceded Home~,Total Team Goals Conceded Away~,Total Team Clean Sheets Home~,Total Team Clean Sheets Away~,Team Fixture Count Home~,Team Fixture Count Away~
45,NOR,7,6,18,18,1.25,1.25,9.5,9.5
57,WAT,9,9,16,16,2,2,9.5,9.5
94,BRE,9,9,16,16,2,2,9.5,9.5
