name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,gw,player_id,first_name,last_name
Oliver Burke,MID,Sheffield Utd,2.2,0,0,6,1,32.4,424,25,0,0,7.4,5.8,2020-09-27T11:00:00Z,73,10,0,0,0,0,3,0,84704,1,0,36,3,18084,39036,20952,45,TRUE,0,3,424,Oliver,Burke
Oliver Casey,DEF,Leeds,-0.5,0,0,0,0,0,215,25,0,0,0,0,2020-09-27T11:00:00Z,0,15,0,0,0,0,3,0,51223,1,0,0,0,-4745,2370,7115,40,FALSE,0,3,215,Oliver,Casey
Oliver McBurnie,FWD,Sheffield Utd,1.5,0,0,2,0,1.3,357,25,1,0,0.7,1.2,2020-09-27T11:00:00Z,16,10,0,0,0,0,3,0,34821,1,0,4,1,-10941,1558,12499,59,TRUE,0,3,357,Oliver,McBurnie
Oliver Norwood,MID,Sheffield Utd,1.5,0,0,2,0,0.3,349,25,1,0,0.1,0.6,2020-09-27T11:00:00Z,26,10,0,0,0,0,3,0,28512,1,0,0,1,-8130,874,9004,49,TRUE,0,3,349,Oliver,Norwood
Oliver Skipp,MID,Spurs,0,0,0,0,0,0,404,26,0,0,0,0,2020-09-27T13:00:00Z,0,14,0,0,0,0,3,0,2374,1,1,0,0,-188,361,549,45,TRUE,0,3,404,Oliver,Skipp
Olivier Giroud,FWD,Chelsea,1.3,0,0,3,0,1.8,103,27,0,0,0.8,0,2020-09-26T16:30:00Z,17,18,0,0,0,0,3,0,59225,3,3,6,1,-18198,2116,20314,69,FALSE,0,3,103,Olivier,Giroud
Ollie Watkins,FWD,Aston Villa,2,0,0,3,1,12,514,22,0,0,2.9,1.8,2020-09-28T16:45:00Z,90,8,0,0,0,0,3,0,109123,3,0,15,2,2870,24796,21926,60,FALSE,0,3,514,Ollie,Watkins
Oluwasemilogo Adesewo Ibidapo Ajayi,DEF,West Brom,-0.7,0,0,12,0,0,419,27,3,0,2.1,20.8,2020-09-26T16:30:00Z,90,5,0,0,0,0,3,0,16116,3,3,0,1,-3877,637,4514,49,TRUE,0,3,419,Oluwasemilogo Adesewo Ibidapo,Ajayi
Oriol Romeu Vidal,MID,Southampton,1.7,0,0,9,1,2.8,364,20,0,0,2.3,20.6,2020-09-26T19:00:00Z,90,4,0,0,0,0,3,0,250869,1,0,0,3,-31587,17665,49252,45,FALSE,0,3,364,Oriol,Romeu Vidal
Oskar Buur,DEF,Wolves,0.3,0,0,0,0,0,467,28,0,0,0,0,2020-09-27T18:00:00Z,0,19,0,0,0,0,3,0,207418,0,4,0,0,19637,56812,37175,40,FALSE,0,3,467,Oskar,Buur
